workerId,pair,rating,event,eventCat,construction
A2H8GNSEVUJXYL,69,2.0,filler,filler,filler
A2H8GNSEVUJXYL,7,2.0,shaking,PC,TRA
A2H8GNSEVUJXYL,62,1.0,filler,filler,filler
A2H8GNSEVUJXYL,65,7.0,filler,filler,filler
A2H8GNSEVUJXYL,2,1.0,kicking,PC,INT
A2H8GNSEVUJXYL,4,4.0,speaking,DC,TRA
A2H8GNSEVUJXYL,81,6.0,filler,filler,filler
A2H8GNSEVUJXYL,67,6.0,filler,filler,filler
A2H8GNSEVUJXYL,1,1.0,kissing,PC,TRA
A2H8GNSEVUJXYL,4,1.0,embracing,PC,INT
A2H8GNSEVUJXYL,80,7.0,filler,filler,filler
A2H8GNSEVUJXYL,3,2.0,hugging,PC,TRA
A2H8GNSEVUJXYL,84,6.0,filler,filler,filler
A2H8GNSEVUJXYL,64,1.0,filler,filler,filler
A2H8GNSEVUJXYL,74,7.0,filler,filler,filler
A2H8GNSEVUJXYL,1,1.0,advising,DM,INT
A2H8GNSEVUJXYL,78,7.0,filler,filler,filler
A2H8GNSEVUJXYL,68,7.0,filler,filler,filler
A2H8GNSEVUJXYL,3,1.0,talking,DC,INT
A2H8GNSEVUJXYL,4,6.0,encouraging,DM,TRA
A2H8GNSEVUJXYL,7,1.0,thanking,DM,INT
A2H8GNSEVUJXYL,6,1.0,poking,PC,INT
A2H8GNSEVUJXYL,73,1.0,filler,filler,filler
A2H8GNSEVUJXYL,5,1.0,recognizing,DM,INT
A2H8GNSEVUJXYL,75,3.0,filler,filler,filler
A1489QNXV5IM6O,6,1.0,supporting,DM,TRA
A1489QNXV5IM6O,66,5.0,filler,filler,filler
